,parents,has_nurs,form,children,housing,finance,social,health,target
1830,usual,improper,complete,2,critical,inconv,slightly_prob,priority,priority
6307,pretentious,improper,completed,1,critical,convenient,problematic,not_recom,not_recom
10303,great_pret,less_proper,foster,3,critical,convenient,problematic,not_recom,not_recom
8494,pretentious,very_crit,foster,2,convenient,inconv,problematic,not_recom,not_recom
2253,usual,improper,incomplete,2,critical,convenient,slightly_prob,priority,priority
12112,great_pret,very_crit,complete,1,convenient,inconv,problematic,not_recom,not_recom
3150,usual,critical,incomplete,3,less_conv,convenient,nonprob,priority,spec_prior
431,usual,proper,incomplete,1,convenient,convenient,nonprob,recommended,very_recom
4313,usual,very_crit,foster,more,critical,inconv,slightly_prob,recommended,spec_prior
10451,great_pret,improper,complete,2,less_conv,inconv,slightly_prob,recommended,priority
10711,great_pret,improper,completed,3,less_conv,convenient,nonprob,not_recom,not_recom
7838,pretentious,very_crit,complete,2,convenient,inconv,nonprob,recommended,priority
11225,great_pret,improper,foster,more,critical,inconv,slightly_prob,recommended,spec_prior
6346,pretentious,improper,completed,2,less_conv,inconv,nonprob,not_recom,not_recom
7866,pretentious,very_crit,complete,2,critical,convenient,nonprob,priority,spec_prior
12155,great_pret,very_crit,complete,2,convenient,convenient,problematic,recommended,spec_prior
10523,great_pret,improper,complete,3,critical,inconv,slightly_prob,recommended,spec_prior
4085,usual,very_crit,incomplete,more,critical,convenient,nonprob,recommended,spec_prior
3825,usual,very_crit,completed,3,critical,inconv,nonprob,priority,spec_prior
7377,pretentious,critical,incomplete,1,less_conv,inconv,problematic,priority,spec_prior
4671,pretentious,proper,completed,3,less_conv,inconv,nonprob,priority,priority
1739,usual,improper,complete,1,convenient,inconv,slightly_prob,recommended,very_recom
6768,pretentious,improper,foster,2,less_conv,convenient,nonprob,priority,spec_prior
10178,great_pret,less_proper,foster,1,less_conv,inconv,nonprob,recommended,priority
8886,great_pret,proper,completed,1,less_conv,inconv,slightly_prob,priority,priority
3991,usual,very_crit,incomplete,2,critical,inconv,slightly_prob,not_recom,not_recom
11275,great_pret,critical,complete,1,critical,convenient,problematic,not_recom,not_recom
2091,usual,improper,completed,3,critical,convenient,slightly_prob,priority,priority
4263,usual,very_crit,foster,3,critical,inconv,problematic,priority,spec_prior
4489,pretentious,proper,complete,more,convenient,convenient,problematic,not_recom,not_recom
4823,pretentious,proper,incomplete,2,less_conv,convenient,nonprob,recommended,priority
6136,pretentious,improper,complete,2,less_conv,inconv,problematic,not_recom,not_recom
7338,pretentious,critical,completed,more,critical,inconv,slightly_prob,priority,spec_prior
3223,usual,critical,incomplete,more,critical,convenient,nonprob,not_recom,not_recom
8959,great_pret,proper,completed,2,critical,inconv,slightly_prob,not_recom,not_recom
8114,pretentious,very_crit,completed,3,convenient,inconv,problematic,recommended,spec_prior
11734,great_pret,critical,incomplete,2,convenient,inconv,problematic,not_recom,not_recom
1755,usual,improper,complete,1,less_conv,inconv,nonprob,priority,priority
10680,great_pret,improper,completed,2,critical,convenient,problematic,priority,spec_prior
7585,pretentious,critical,foster,1,less_conv,convenient,problematic,not_recom,not_recom
3962,usual,very_crit,incomplete,2,less_conv,convenient,slightly_prob,recommended,spec_prior
9422,great_pret,proper,foster,3,less_conv,inconv,nonprob,recommended,priority
131,usual,proper,complete,3,less_conv,convenient,problematic,recommended,priority
2100,usual,improper,completed,3,critical,inconv,slightly_prob,priority,priority
705,usual,proper,foster,2,convenient,convenient,slightly_prob,priority,priority
10736,great_pret,improper,completed,3,critical,inconv,nonprob,recommended,spec_prior
3162,usual,critical,incomplete,3,less_conv,inconv,slightly_prob,priority,spec_prior
421,usual,proper,completed,more,critical,convenient,problematic,not_recom,not_recom
4247,usual,very_crit,foster,3,critical,convenient,nonprob,recommended,spec_prior
511,usual,proper,incomplete,2,less_conv,convenient,problematic,not_recom,not_recom
10248,great_pret,less_proper,foster,2,critical,convenient,problematic,priority,spec_prior
12409,great_pret,very_crit,completed,2,critical,convenient,problematic,not_recom,not_recom
12465,great_pret,very_crit,completed,3,critical,inconv,nonprob,priority,spec_prior
5334,pretentious,less_proper,complete,3,critical,convenient,problematic,priority,priority
6707,pretentious,improper,foster,1,convenient,inconv,slightly_prob,recommended,priority
3810,usual,very_crit,completed,3,less_conv,inconv,slightly_prob,priority,spec_prior
1438,usual,less_proper,incomplete,3,less_conv,inconv,problematic,not_recom,not_recom
1003,usual,less_proper,complete,3,less_conv,inconv,slightly_prob,not_recom,not_recom
12818,great_pret,very_crit,foster,2,less_conv,convenient,slightly_prob,recommended,spec_prior
5838,pretentious,less_proper,foster,1,convenient,convenient,problematic,priority,priority
625,usual,proper,incomplete,more,less_conv,inconv,slightly_prob,not_recom,not_recom
1740,usual,improper,complete,1,convenient,inconv,slightly_prob,priority,priority
2351,usual,improper,incomplete,more,less_conv,inconv,slightly_prob,recommended,priority
6663,pretentious,improper,incomplete,more,less_conv,convenient,slightly_prob,priority,spec_prior
6896,pretentious,improper,foster,more,critical,convenient,slightly_prob,recommended,priority
12863,great_pret,very_crit,foster,3,convenient,inconv,slightly_prob,recommended,spec_prior
7471,pretentious,critical,incomplete,3,less_conv,convenient,nonprob,not_recom,not_recom
8701,great_pret,proper,complete,2,convenient,convenient,problematic,not_recom,not_recom
910,usual,less_proper,complete,1,critical,inconv,nonprob,not_recom,not_recom
8458,pretentious,very_crit,foster,1,less_conv,inconv,problematic,not_recom,not_recom
10322,great_pret,less_proper,foster,more,convenient,inconv,nonprob,recommended,priority
7348,pretentious,critical,incomplete,1,convenient,convenient,slightly_prob,not_recom,not_recom
8656,great_pret,proper,complete,1,convenient,inconv,problematic,not_recom,not_recom
1002,usual,less_proper,complete,3,less_conv,inconv,slightly_prob,priority,priority
8800,great_pret,proper,complete,3,critical,inconv,problematic,not_recom,not_recom
7233,pretentious,critical,completed,2,critical,inconv,problematic,priority,spec_prior
1898,usual,improper,complete,more,convenient,inconv,nonprob,recommended,priority
4822,pretentious,proper,incomplete,2,convenient,inconv,problematic,not_recom,not_recom
7494,pretentious,critical,incomplete,3,critical,convenient,problematic,priority,spec_prior
7894,pretentious,very_crit,complete,3,convenient,inconv,nonprob,not_recom,not_recom
5066,pretentious,proper,foster,2,critical,inconv,nonprob,recommended,priority
9346,great_pret,proper,foster,2,convenient,convenient,slightly_prob,not_recom,not_recom
6940,pretentious,critical,complete,1,less_conv,inconv,nonprob,not_recom,not_recom
6434,pretentious,improper,completed,more,convenient,inconv,nonprob,recommended,priority
12911,great_pret,very_crit,foster,more,convenient,convenient,problematic,recommended,spec_prior
2982,usual,critical,completed,more,convenient,inconv,slightly_prob,priority,spec_prior
11262,great_pret,critical,complete,1,less_conv,inconv,slightly_prob,priority,spec_prior
4725,pretentious,proper,completed,more,less_conv,inconv,nonprob,priority,priority
2323,usual,improper,incomplete,more,convenient,convenient,nonprob,not_recom,not_recom
5688,pretentious,less_proper,incomplete,2,less_conv,convenient,nonprob,priority,priority
429,usual,proper,completed,more,critical,inconv,problematic,priority,priority
12267,great_pret,very_crit,complete,more,convenient,inconv,nonprob,priority,spec_prior
663,usual,proper,foster,1,convenient,inconv,problematic,priority,priority
29,usual,proper,complete,1,less_conv,inconv,slightly_prob,recommended,very_recom
4035,usual,very_crit,incomplete,3,critical,convenient,slightly_prob,priority,spec_prior
3528,usual,very_crit,complete,2,less_conv,convenient,nonprob,priority,spec_prior
6818,pretentious,improper,foster,3,convenient,inconv,problematic,recommended,spec_prior
11254,great_pret,critical,complete,1,less_conv,convenient,slightly_prob,not_recom,not_recom
4193,usual,very_crit,foster,2,critical,convenient,nonprob,recommended,spec_prior
9768,great_pret,less_proper,completed,1,critical,inconv,slightly_prob,priority,spec_prior
1424,usual,less_proper,incomplete,3,less_conv,convenient,slightly_prob,recommended,priority
2579,usual,improper,foster,more,critical,convenient,problematic,recommended,priority
3055,usual,critical,incomplete,1,less_conv,inconv,slightly_prob,not_recom,not_recom
5723,pretentious,less_proper,incomplete,3,convenient,convenient,nonprob,recommended,very_recom
4765,pretentious,proper,incomplete,1,convenient,inconv,slightly_prob,not_recom,not_recom
9324,great_pret,proper,foster,1,critical,convenient,nonprob,priority,spec_prior
3968,usual,very_crit,incomplete,2,less_conv,inconv,nonprob,recommended,spec_prior
9468,great_pret,proper,foster,more,less_conv,convenient,nonprob,priority,spec_prior
2663,usual,critical,complete,2,less_conv,convenient,nonprob,recommended,priority
4427,pretentious,proper,complete,3,convenient,convenient,nonprob,recommended,very_recom
10633,great_pret,improper,completed,1,critical,inconv,slightly_prob,not_recom,not_recom
1957,usual,improper,completed,1,convenient,inconv,slightly_prob,not_recom,not_recom
11635,great_pret,critical,completed,more,less_conv,convenient,problematic,not_recom,not_recom
9426,great_pret,proper,foster,3,less_conv,inconv,slightly_prob,priority,spec_prior
3124,usual,critical,incomplete,2,critical,inconv,nonprob,not_recom,not_recom
2566,usual,improper,foster,more,less_conv,inconv,nonprob,not_recom,not_recom
1995,usual,improper,completed,1,critical,inconv,problematic,priority,priority
8007,pretentious,very_crit,completed,1,convenient,inconv,problematic,priority,spec_prior
10520,great_pret,improper,complete,3,critical,inconv,nonprob,recommended,spec_prior
8897,great_pret,proper,completed,1,critical,convenient,problematic,recommended,spec_prior
10586,great_pret,improper,completed,1,convenient,convenient,slightly_prob,recommended,priority
8978,great_pret,proper,completed,3,convenient,inconv,problematic,recommended,spec_prior
7610,pretentious,critical,foster,1,critical,inconv,problematic,recommended,spec_prior
728,usual,proper,foster,2,less_conv,inconv,nonprob,recommended,priority
6867,pretentious,improper,foster,more,convenient,inconv,nonprob,priority,spec_prior
5299,pretentious,less_proper,complete,3,convenient,convenient,problematic,not_recom,not_recom
11601,great_pret,critical,completed,3,critical,inconv,nonprob,priority,spec_prior
6082,pretentious,improper,complete,1,less_conv,inconv,problematic,not_recom,not_recom
2559,usual,improper,foster,more,less_conv,convenient,slightly_prob,priority,priority
9193,great_pret,proper,incomplete,3,convenient,inconv,slightly_prob,not_recom,not_recom
9107,great_pret,proper,incomplete,1,critical,convenient,nonprob,recommended,priority
12447,great_pret,very_crit,completed,3,less_conv,inconv,nonprob,priority,spec_prior
312,usual,proper,completed,2,critical,convenient,problematic,priority,priority
2149,usual,improper,completed,more,critical,convenient,problematic,not_recom,not_recom
12276,great_pret,very_crit,complete,more,less_conv,convenient,nonprob,priority,spec_prior
8053,pretentious,very_crit,completed,2,convenient,convenient,problematic,not_recom,not_recom
11960,great_pret,critical,foster,2,less_conv,inconv,nonprob,recommended,spec_prior
6374,pretentious,improper,completed,3,convenient,convenient,slightly_prob,recommended,priority
8946,great_pret,proper,completed,2,critical,convenient,nonprob,priority,spec_prior
4740,pretentious,proper,completed,more,critical,convenient,problematic,priority,priority
4114,usual,very_crit,foster,1,convenient,inconv,nonprob,not_recom,not_recom
7416,pretentious,critical,incomplete,2,less_conv,convenient,nonprob,priority,spec_prior
2256,usual,improper,incomplete,2,critical,convenient,problematic,priority,priority
5714,pretentious,less_proper,incomplete,2,critical,inconv,nonprob,recommended,priority
27,usual,proper,complete,1,less_conv,inconv,nonprob,priority,priority
6046,pretentious,less_proper,foster,more,critical,inconv,problematic,not_recom,not_recom
8805,great_pret,proper,complete,more,convenient,convenient,slightly_prob,priority,priority
8868,great_pret,proper,completed,1,convenient,inconv,slightly_prob,priority,priority
2680,usual,critical,complete,2,less_conv,inconv,problematic,not_recom,not_recom
12449,great_pret,very_crit,completed,3,less_conv,inconv,slightly_prob,recommended,spec_prior
515,usual,proper,incomplete,2,less_conv,inconv,slightly_prob,recommended,priority
5726,pretentious,less_proper,incomplete,3,convenient,convenient,slightly_prob,recommended,very_recom
8684,great_pret,proper,complete,1,critical,inconv,nonprob,recommended,priority
1751,usual,improper,complete,1,less_conv,convenient,problematic,recommended,priority
706,usual,proper,foster,2,convenient,convenient,slightly_prob,not_recom,not_recom
5933,pretentious,less_proper,foster,2,critical,inconv,slightly_prob,recommended,priority
11466,great_pret,critical,completed,1,less_conv,convenient,nonprob,priority,spec_prior
4770,pretentious,proper,incomplete,1,less_conv,convenient,nonprob,priority,priority
3649,usual,very_crit,complete,more,less_conv,inconv,slightly_prob,not_recom,not_recom
8676,great_pret,proper,complete,1,critical,convenient,nonprob,priority,priority
6744,pretentious,improper,foster,1,critical,inconv,slightly_prob,priority,spec_prior
2417,usual,improper,foster,1,critical,convenient,problematic,recommended,priority
9307,great_pret,proper,foster,1,less_conv,convenient,nonprob,not_recom,not_recom
865,usual,less_proper,complete,1,convenient,convenient,nonprob,not_recom,not_recom
12604,great_pret,very_crit,incomplete,2,less_conv,convenient,slightly_prob,not_recom,not_recom
4691,pretentious,proper,completed,3,critical,inconv,slightly_prob,recommended,priority
2833,usual,critical,completed,1,less_conv,convenient,problematic,not_recom,not_recom
347,usual,proper,completed,3,less_conv,convenient,problematic,recommended,priority
10860,great_pret,improper,incomplete,2,convenient,convenient,problematic,priority,spec_prior
11963,great_pret,critical,foster,2,less_conv,inconv,slightly_prob,recommended,spec_prior
8708,great_pret,proper,complete,2,convenient,inconv,problematic,recommended,priority
3601,usual,very_crit,complete,3,critical,convenient,nonprob,not_recom,not_recom
8542,pretentious,very_crit,foster,3,convenient,inconv,nonprob,not_recom,not_recom
6386,pretentious,improper,completed,3,convenient,inconv,problematic,recommended,spec_prior
718,usual,proper,foster,2,convenient,inconv,problematic,not_recom,not_recom
2986,usual,critical,completed,more,convenient,inconv,problematic,not_recom,not_recom
3695,usual,very_crit,completed,1,less_conv,convenient,problematic,recommended,spec_prior
8187,pretentious,very_crit,completed,more,less_conv,inconv,problematic,priority,spec_prior
6826,pretentious,improper,foster,3,less_conv,convenient,slightly_prob,not_recom,not_recom
6819,pretentious,improper,foster,3,convenient,inconv,problematic,priority,spec_prior
5480,pretentious,less_proper,completed,2,less_conv,inconv,nonprob,recommended,very_recom
1759,usual,improper,complete,1,less_conv,inconv,slightly_prob,not_recom,not_recom
10146,great_pret,less_proper,incomplete,more,critical,inconv,slightly_prob,priority,spec_prior
11923,great_pret,critical,foster,1,critical,convenient,problematic,not_recom,not_recom
7076,pretentious,critical,complete,more,convenient,convenient,slightly_prob,recommended,priority
10283,great_pret,less_proper,foster,3,less_conv,convenient,problematic,recommended,spec_prior
6982,pretentious,critical,complete,2,convenient,inconv,problematic,not_recom,not_recom
7919,pretentious,very_crit,complete,3,critical,convenient,nonprob,recommended,spec_prior
1219,usual,less_proper,completed,3,less_conv,inconv,slightly_prob,not_recom,not_recom
10390,great_pret,improper,complete,1,less_conv,convenient,slightly_prob,not_recom,not_recom
8444,pretentious,very_crit,foster,1,less_conv,convenient,slightly_prob,recommended,spec_prior
5500,pretentious,less_proper,completed,2,critical,inconv,nonprob,not_recom,not_recom
4886,pretentious,proper,incomplete,3,less_conv,inconv,nonprob,recommended,priority
1343,usual,less_proper,incomplete,1,critical,inconv,slightly_prob,recommended,priority
12451,great_pret,very_crit,completed,3,less_conv,inconv,slightly_prob,not_recom,not_recom
9553,great_pret,less_proper,complete,1,critical,inconv,slightly_prob,not_recom,not_recom
9091,great_pret,proper,incomplete,1,less_conv,convenient,nonprob,not_recom,not_recom
3967,usual,very_crit,incomplete,2,less_conv,convenient,problematic,not_recom,not_recom
5201,pretentious,less_proper,complete,1,less_conv,convenient,nonprob,recommended,very_recom
9188,great_pret,proper,incomplete,3,convenient,inconv,nonprob,recommended,priority
7863,pretentious,very_crit,complete,2,less_conv,inconv,problematic,priority,spec_prior
11602,great_pret,critical,completed,3,critical,inconv,nonprob,not_recom,not_recom
3771,usual,very_crit,completed,2,critical,inconv,nonprob,priority,spec_prior
6013,pretentious,less_proper,foster,more,less_conv,convenient,nonprob,not_recom,not_recom
9919,great_pret,less_proper,completed,more,critical,convenient,nonprob,not_recom,not_recom
3990,usual,very_crit,incomplete,2,critical,inconv,slightly_prob,priority,spec_prior
8883,great_pret,proper,completed,1,less_conv,inconv,nonprob,priority,priority
11180,great_pret,improper,foster,more,convenient,convenient,slightly_prob,recommended,priority
4440,pretentious,proper,complete,3,convenient,inconv,slightly_prob,priority,priority
357,usual,proper,completed,3,less_conv,inconv,problematic,priority,priority
6137,pretentious,improper,complete,2,critical,convenient,nonprob,recommended,priority
7058,pretentious,critical,complete,3,critical,convenient,slightly_prob,recommended,spec_prior
1398,usual,less_proper,incomplete,2,critical,inconv,slightly_prob,priority,priority
7714,pretentious,critical,foster,3,critical,inconv,nonprob,not_recom,not_recom
9923,great_pret,less_proper,completed,more,critical,convenient,problematic,recommended,spec_prior
9311,great_pret,proper,foster,1,less_conv,convenient,problematic,recommended,spec_prior
3382,usual,critical,foster,3,less_conv,inconv,problematic,not_recom,not_recom
4681,pretentious,proper,completed,3,critical,convenient,nonprob,not_recom,not_recom
10663,great_pret,improper,completed,2,less_conv,convenient,problematic,not_recom,not_recom
6263,pretentious,improper,completed,1,convenient,convenient,nonprob,recommended,priority
11530,great_pret,critical,completed,2,less_conv,inconv,nonprob,not_recom,not_recom
5041,pretentious,proper,foster,2,less_conv,convenient,nonprob,not_recom,not_recom
4283,usual,very_crit,foster,more,less_conv,convenient,nonprob,recommended,spec_prior
8538,pretentious,very_crit,foster,3,convenient,convenient,problematic,priority,spec_prior
12350,great_pret,very_crit,completed,1,critical,convenient,slightly_prob,recommended,spec_prior
3310,usual,critical,foster,2,convenient,inconv,problematic,not_recom,not_recom
9699,great_pret,less_proper,complete,more,less_conv,inconv,problematic,priority,spec_prior
7731,pretentious,critical,foster,more,convenient,inconv,nonprob,priority,spec_prior
1636,usual,less_proper,foster,3,convenient,inconv,problematic,not_recom,not_recom
10462,great_pret,improper,complete,2,critical,convenient,slightly_prob,not_recom,not_recom
2552,usual,improper,foster,more,convenient,inconv,problematic,recommended,priority
2821,usual,critical,completed,1,convenient,inconv,slightly_prob,not_recom,not_recom
8772,great_pret,proper,complete,3,less_conv,convenient,problematic,priority,spec_prior
10864,great_pret,improper,incomplete,2,convenient,inconv,nonprob,not_recom,not_recom
142,usual,proper,complete,3,less_conv,inconv,problematic,not_recom,not_recom
1030,usual,less_proper,complete,more,convenient,convenient,slightly_prob,not_recom,not_recom
9339,great_pret,proper,foster,1,critical,inconv,problematic,priority,spec_prior
12073,great_pret,critical,foster,more,less_conv,inconv,slightly_prob,not_recom,not_recom
2866,usual,critical,completed,2,convenient,convenient,slightly_prob,not_recom,not_recom
11969,great_pret,critical,foster,2,critical,convenient,nonprob,recommended,spec_prior
7644,pretentious,critical,foster,2,less_conv,inconv,slightly_prob,priority,spec_prior
6058,pretentious,improper,complete,1,convenient,inconv,nonprob,not_recom,not_recom
5720,pretentious,less_proper,incomplete,2,critical,inconv,problematic,recommended,priority
1241,usual,less_proper,completed,more,convenient,convenient,nonprob,recommended,very_recom
6622,pretentious,improper,incomplete,3,less_conv,inconv,problematic,not_recom,not_recom
6577,pretentious,improper,incomplete,2,critical,convenient,problematic,not_recom,not_recom
4915,pretentious,proper,incomplete,more,convenient,convenient,nonprob,not_recom,not_recom
5144,pretentious,proper,foster,more,convenient,inconv,problematic,recommended,priority
8845,great_pret,proper,complete,more,critical,convenient,problematic,not_recom,not_recom
9949,great_pret,less_proper,incomplete,1,convenient,inconv,slightly_prob,not_recom,not_recom
4697,pretentious,proper,completed,more,convenient,convenient,nonprob,recommended,very_recom
1969,usual,improper,completed,1,less_conv,convenient,problematic,not_recom,not_recom
7087,pretentious,critical,complete,more,convenient,inconv,slightly_prob,not_recom,not_recom
12355,great_pret,very_crit,completed,1,critical,convenient,problematic,not_recom,not_recom
424,usual,proper,completed,more,critical,inconv,nonprob,not_recom,not_recom
8388,pretentious,very_crit,incomplete,more,less_conv,convenient,nonprob,priority,spec_prior
9213,great_pret,proper,incomplete,3,less_conv,inconv,problematic,priority,spec_prior
7261,pretentious,critical,completed,3,less_conv,convenient,problematic,not_recom,not_recom
11592,great_pret,critical,completed,3,critical,convenient,nonprob,priority,spec_prior
2051,usual,improper,completed,3,convenient,convenient,nonprob,recommended,very_recom
11023,great_pret,improper,foster,1,convenient,convenient,problematic,not_recom,not_recom
4425,pretentious,proper,complete,2,critical,inconv,problematic,priority,priority
8535,pretentious,very_crit,foster,3,convenient,convenient,slightly_prob,priority,spec_prior
3134,usual,critical,incomplete,3,convenient,convenient,slightly_prob,recommended,priority
1783,usual,improper,complete,2,convenient,convenient,nonprob,not_recom,not_recom
8563,pretentious,very_crit,foster,3,less_conv,inconv,slightly_prob,not_recom,not_recom
4943,pretentious,proper,incomplete,more,less_conv,inconv,slightly_prob,recommended,priority
10176,great_pret,less_proper,foster,1,less_conv,convenient,problematic,priority,spec_prior
9610,great_pret,less_proper,complete,2,critical,inconv,problematic,not_recom,not_recom
432,usual,proper,incomplete,1,convenient,convenient,nonprob,priority,priority
7175,pretentious,critical,completed,1,critical,inconv,slightly_prob,recommended,spec_prior
2469,usual,improper,foster,2,critical,convenient,slightly_prob,priority,priority
12733,great_pret,very_crit,incomplete,more,critical,convenient,problematic,not_recom,not_recom
12176,great_pret,very_crit,complete,2,less_conv,inconv,nonprob,recommended,priority
4094,usual,very_crit,incomplete,more,critical,inconv,nonprob,recommended,spec_prior
7398,pretentious,critical,incomplete,2,convenient,convenient,nonprob,priority,spec_prior
12946,great_pret,very_crit,foster,more,critical,convenient,slightly_prob,not_recom,not_recom
4135,usual,very_crit,foster,1,less_conv,inconv,slightly_prob,not_recom,not_recom
7093,pretentious,critical,complete,more,less_conv,convenient,nonprob,not_recom,not_recom
9488,great_pret,proper,foster,more,critical,convenient,slightly_prob,recommended,priority
7036,pretentious,critical,complete,3,convenient,inconv,problematic,not_recom,not_recom
2919,usual,critical,completed,3,convenient,convenient,slightly_prob,priority,priority
3937,usual,very_crit,incomplete,1,critical,inconv,slightly_prob,not_recom,not_recom
2526,usual,improper,foster,3,critical,convenient,problematic,priority,priority
505,usual,proper,incomplete,2,less_conv,convenient,nonprob,not_recom,not_recom
6097,pretentious,improper,complete,1,critical,inconv,slightly_prob,not_recom,not_recom
8322,pretentious,very_crit,incomplete,3,convenient,convenient,problematic,priority,spec_prior
8863,great_pret,proper,completed,1,convenient,convenient,problematic,not_recom,not_recom
1609,usual,less_proper,foster,2,critical,convenient,problematic,not_recom,not_recom
1113,usual,less_proper,completed,1,less_conv,inconv,problematic,priority,priority
12899,great_pret,very_crit,foster,3,critical,inconv,slightly_prob,recommended,spec_prior
3363,usual,critical,foster,3,convenient,inconv,problematic,priority,spec_prior
411,usual,proper,completed,more,less_conv,inconv,problematic,priority,priority
2705,usual,critical,complete,3,convenient,convenient,problematic,recommended,priority
6591,pretentious,improper,incomplete,3,convenient,convenient,slightly_prob,priority,priority
3232,usual,critical,incomplete,more,critical,inconv,nonprob,not_recom,not_recom
8043,pretentious,very_crit,completed,1,critical,inconv,problematic,priority,spec_prior
6455,pretentious,improper,completed,more,less_conv,inconv,slightly_prob,recommended,priority
1217,usual,less_proper,completed,3,less_conv,inconv,slightly_prob,recommended,priority
7018,pretentious,critical,complete,2,critical,inconv,problematic,not_recom,not_recom
11722,great_pret,critical,incomplete,2,convenient,convenient,slightly_prob,not_recom,not_recom
1770,usual,improper,complete,1,critical,convenient,problematic,priority,priority
4304,usual,very_crit,foster,more,critical,convenient,slightly_prob,recommended,spec_prior
961,usual,less_proper,complete,2,critical,convenient,problematic,not_recom,not_recom
8666,great_pret,proper,complete,1,less_conv,inconv,nonprob,recommended,priority
176,usual,proper,complete,more,convenient,inconv,problematic,recommended,priority
8425,pretentious,very_crit,foster,1,convenient,convenient,nonprob,not_recom,not_recom
5694,pretentious,less_proper,incomplete,2,less_conv,convenient,problematic,priority,priority
2837,usual,critical,completed,1,less_conv,inconv,slightly_prob,recommended,priority
3959,usual,very_crit,incomplete,2,less_conv,convenient,nonprob,recommended,spec_prior
49,usual,proper,complete,1,critical,inconv,slightly_prob,not_recom,not_recom
732,usual,proper,foster,2,less_conv,inconv,slightly_prob,priority,priority
1730,usual,improper,complete,1,convenient,convenient,slightly_prob,recommended,very_recom
7354,pretentious,critical,incomplete,1,convenient,inconv,nonprob,not_recom,not_recom
4475,pretentious,proper,complete,3,critical,inconv,slightly_prob,recommended,priority
9262,great_pret,proper,incomplete,more,less_conv,inconv,nonprob,not_recom,not_recom
6251,pretentious,improper,complete,more,critical,convenient,problematic,recommended,spec_prior
5998,pretentious,less_proper,foster,more,convenient,convenient,slightly_prob,not_recom,not_recom
12217,great_pret,very_crit,complete,3,convenient,inconv,slightly_prob,not_recom,not_recom
2177,usual,improper,incomplete,1,less_conv,convenient,nonprob,recommended,very_recom
9084,great_pret,proper,incomplete,1,convenient,inconv,slightly_prob,priority,priority
116,usual,proper,complete,3,convenient,inconv,nonprob,recommended,priority
1485,usual,less_proper,incomplete,more,less_conv,inconv,nonprob,priority,priority
10709,great_pret,improper,completed,3,less_conv,convenient,nonprob,recommended,spec_prior
3864,usual,very_crit,completed,more,less_conv,inconv,slightly_prob,priority,spec_prior
11809,great_pret,critical,incomplete,3,critical,convenient,nonprob,not_recom,not_recom
6685,pretentious,improper,incomplete,more,critical,convenient,problematic,not_recom,not_recom
413,usual,proper,completed,more,critical,convenient,nonprob,recommended,priority
1254,usual,less_proper,completed,more,convenient,inconv,slightly_prob,priority,priority
9361,great_pret,proper,foster,2,less_conv,convenient,nonprob,not_recom,not_recom
11500,great_pret,critical,completed,1,critical,inconv,problematic,not_recom,not_recom
12609,great_pret,very_crit,incomplete,2,less_conv,inconv,nonprob,priority,spec_prior
1523,usual,less_proper,foster,1,convenient,inconv,slightly_prob,recommended,priority
10556,great_pret,improper,complete,more,less_conv,inconv,nonprob,recommended,spec_prior
6782,pretentious,improper,foster,2,less_conv,inconv,problematic,recommended,spec_prior
667,usual,proper,foster,1,less_conv,convenient,nonprob,not_recom,not_recom
7937,pretentious,very_crit,complete,more,convenient,convenient,nonprob,recommended,priority
1819,usual,improper,complete,2,critical,convenient,nonprob,not_recom,not_recom
11032,great_pret,improper,foster,1,convenient,inconv,problematic,not_recom,not_recom
1479,usual,less_proper,incomplete,more,less_conv,convenient,slightly_prob,priority,priority
4527,pretentious,proper,complete,more,critical,inconv,nonprob,priority,priority
5347,pretentious,less_proper,complete,more,convenient,convenient,nonprob,not_recom,not_recom
8681,great_pret,proper,complete,1,critical,convenient,problematic,recommended,priority
6555,pretentious,improper,incomplete,2,less_conv,convenient,slightly_prob,priority,spec_prior
3770,usual,very_crit,completed,2,critical,inconv,nonprob,recommended,spec_prior
6658,pretentious,improper,incomplete,more,convenient,inconv,problematic,not_recom,not_recom
11397,great_pret,critical,complete,more,convenient,convenient,slightly_prob,priority,spec_prior
388,usual,proper,completed,more,convenient,inconv,nonprob,not_recom,not_recom
11702,great_pret,critical,incomplete,1,critical,convenient,slightly_prob,recommended,spec_prior
10474,great_pret,improper,complete,2,critical,inconv,problematic,not_recom,not_recom
2687,usual,critical,complete,2,critical,convenient,problematic,recommended,spec_prior
4361,pretentious,proper,complete,1,critical,convenient,problematic,recommended,priority
8224,pretentious,very_crit,incomplete,1,convenient,inconv,problematic,not_recom,not_recom
8366,pretentious,very_crit,incomplete,3,critical,inconv,problematic,recommended,spec_prior
11843,great_pret,critical,incomplete,more,less_conv,convenient,nonprob,recommended,spec_prior
2163,usual,improper,incomplete,1,convenient,convenient,slightly_prob,priority,priority
128,usual,proper,complete,3,less_conv,convenient,slightly_prob,recommended,priority
9690,great_pret,less_proper,complete,more,less_conv,convenient,problematic,priority,spec_prior
10593,great_pret,improper,completed,1,convenient,inconv,nonprob,priority,spec_prior
3472,usual,very_crit,complete,1,convenient,inconv,problematic,not_recom,not_recom
8819,great_pret,proper,complete,more,less_conv,convenient,nonprob,recommended,priority
2983,usual,critical,completed,more,convenient,inconv,slightly_prob,not_recom,not_recom
4201,usual,very_crit,foster,2,critical,convenient,problematic,not_recom,not_recom
